FoodID,Food Code,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,CountryCode,FoodDateOfEntry,FoodDateOfPublication,ScientificName
5684,5684,7,0,"Deli-meat, salami, Italian, pork","Charcuterie, salami italien, porc",07926,2004-03-09,2002-08-01,
5685,5685,7,0,"Sausage, Italian, turkey, smoked","Saucisse italienne, dinde, fumée",07927,2004-03-09,2002-08-01,
5687,5687,7,0,"Sausage, smoked, turkey, hot","Saucisse, fumée, dinde, épicée",07929,2004-03-09,2002-08-01,
5689,5689,7,0,"Deli-meat, Beerwurst, (Beer salami, Bierwurst), pork and beef","Charcuterie, saucisson à la bière, porc et boeuf",07931,2004-03-09,2002-08-01,
5692,5692,7,38,"Sausage, Kielbasa (kolbassa), turkey","Saucisse kielbassa (kolbassa), dinde",07934,2004-03-09,2002-08-01,
5698,5698,7,0,"Deli-meat, macaroni and cheese loaf, chicken/pork/beef","Charcuterie, pain de viande, macaroni au fromage, poulet, porc et boeuf",07940,2004-03-09,2002-08-01,
5699,5699,7,0,"Deli-meat, salami, Italian, pork and beef, reduced sodium","Charcuterie, salami italien, porc et boeuf, réduit en sodium",07941,2004-03-09,2002-08-01,
5702,5702,7,38,"Deli-meat, turkey breast, oven roasted, sliced","Charcuterie, poitrine de dinde, rôtie au four, tranchée",07079,2004-03-09,2002-08-01,
501502,6306,7,38,"Deli-meat, prosciutto (parma ham) dry-cured","Charcuterie, prosciutto, (jambon de Parme), salé à sec",,2008-04-16,,
3589,3589,17,28,"Game meat, native, muskrat, raw","Gibier, viande, autochtone, rat musqué, cru",,1990-01-01,,Ondatra zibethica
3595,3595,17,28,"Game meat, native, rabbit, wild, raw","Gibier, viande, autochtone, lapin, sauvage, cru",,1990-01-01,,"Lepus sp: americanus, arcticus"
4884,4884,11,0,"Mushroom, fungi, Cloud ears, dried","Champignon, Cloud ears, déshydratés",11988,2000-12-20,1997-06-01,
5715,5715,17,0,"Game meat, bison, ground, raw","Gibier, viande, bison, haché, cru",17330,2004-03-09,2002-08-01,Bison bison
5722,5722,17,0,"Game meat, bison, top round, lean, steak, raw","Gibier, viande, bison, intérieur de ronde, maigre, bifteck, cru",17337,2004-03-09,2002-08-01,Bison bison
5769,5769,17,28,"Game meat, native, beluga, meat, dried","Gibier, viande, autochtone, béluga, viande, déshydratée",,2004-12-16,,Delphinapterus leucas
426,426,4,0,"Salad dressing, french, homemade, unspecified oil","Vinaigrette, française, faite maison, huile non spécifiée",04133,1981-01-01,,
428,428,4,0,"Salad dressing, oil and vinegar, homemade","Vinaigrette, huile et vinaigre, faite maison",04135,1981-01-01,,
527,527,4,0,"Salad dressing, mayonnaise type, commercial, regular","Vinaigrette, type mayonnaise, commerciale, régulière",04018,1981-01-01,,
531,531,4,0,"Salad dressing, mayonnaise, commercial, regular","Vinaigrette, mayonnaise, commerciale, régulière",04025,1985-01-01,,
9,9,22,30,"Meat loaf with tomato sauce, mashed potatoes and peas","Pain de viande avec sauce aux tomates, pommes de terre en purée et pois",,1981-01-01,,
3642,3642,17,20,"Game meat, frog legs, raw","Gibier, viande, grenouille, cuisses, crues",80200,1981-01-01,,
4575,4575,21,0,"Fast foods, entree, crab cake","Aliments prêts à manger, plat principal, beignet de crabe",21046,1995-01-01,,
5822,5822,17,28,"Game meat, native, moose, fat, raw","Gibier, viande, autochtone, orignal, gras, cru",,2005-01-24,,Alces alces
501983,6756,21,36,"Fast foods, sandwiches and burgers, submarine sandwich on white bread with turkey","Aliments prêts à manger, sandwichs et burgers, sous-marin fait avec pain blanc et dinde",,2009-07-14,,
501984,6757,21,36,"Fast foods, sandwiches and burgers, submarine sandwich on white bread, vegetarian, with vegetables only","Aliments prêts à manger, sandwichs et burgers, sous-marin végétarien, fait avec pain blanc et légumes uniquement",,2009-07-14,,
126,126,1,23,"Egg, chicken, white, fresh or frozen, raw","Oeuf, poule, blanc, frais ou congelé, cru",01124,1989-01-01,1999-02-01,
127,127,1,23,"Egg, chicken, yolk, fresh or frozen, raw","Oeuf, poule, jaune, frais ou congelé, cru",01125,1989-01-01,1999-02-01,
186,186,2,0,"Spices, fennel seed","Épices, fenouil, graines",02018,1981-01-01,,Foeniculum vulgare
194,194,2,0,"Spices, onion powder","Épices, oignon, poudre",02026,1981-01-01,,Allium cepa
199,199,2,0,"Spices, pepper, red or cayenne","Épices, piment rouge ou de cayenne",02031,1981-01-01,,Capsicum frutescens or Capsicum annuum
203,203,2,0,"Spices, pumpkin pie spice","Épices, assaisonnement pour tarte à la citrouille",02035,1981-01-01,,
967,967,6,0,"Soup, broth, beef, dehydrated","Soupe, bouillon, boeuf, déshydratée",06075,1990-01-01,,
972,972,6,0,"Soup, broth, chicken, dehydrated","Soupe, bouillon, poulet, déshydratée",06080,1983-01-01,,
2315,2315,11,0,"Spinach souffle, homemade","Épinard, soufflé, fait maison",11658,1985-01-01,,
2871,2871,14,0,"Hot chocolate, mix, powder, prepared with water","Chocolat chaud, mélange sec, préparé avec eau",14194,1988-01-01,,
2884,2884,14,0,"Coffee substitute, cereal grain beverage, powder, water added","Café, succédané, boisson de céréales, poudre, eau ajoutée",14237,1988-01-01,,
2928,2928,14,30,"Coffee, instant, sweetened, cappucino flavour, powder, water added","Café instantané, sucré, saveur cappucino, poudre, eau ajoutée",,1988-01-01,,
4548,4548,21,0,"Fast foods, egg, scrambled","Aliments prêts à manger, oeuf brouillé",21018,1990-01-01,,
4733,4733,6,0,"Sauce, cheese sauce mix, dry, unprepared","Sauce, fromage, mélange sec, non préparé",06720,2000-12-13,1997-04-01,
5263,5263,6,6,"Soup, cream, potato, canned, condensed, 2% M.F. milk added","Soupe, crème, pommes de terre, conserve, condensée, lait 2% M.G. ajouté",,2001-11-23,,
5267,5267,6,38,"Soup, tomato, canned, condensed, 2% M.F. milk added","Soupe, tomates, conserve, condensée, lait 2% M.G. ajouté",,2001-11-23,,
5297,5297,14,29,"Hot chocolate, cocoa, without sugar, mix, powder, prepared with water","Chocolat chaud, cacao, sans sucre ajouté, mélange sec, préparé avec eau",,2003-09-05,,
5962,5962,14,0,"Sports drink, fruit flavour, ready-to-drink","Boisson pour sportifs, saveur fruits, prête-à-boire",14460,2006-02-27,2005-08-01,
1078,1078,6,0,"Soup, broth, beef, dehydrated, water added","Soupe, bouillon, boeuf, déshydratée, eau ajoutée",06475,1989-01-01,,
1083,1083,6,0,"Soup, broth, chicken, dehydrated, water added","Soupe, bouillon, poulet, déshydratée, eau ajoutée",06480,1983-01-01,,
1084,1084,6,0,"Soup, broth, chicken, cubed, dehydrated, water added","Soupe, bouillon, poulet, cube, déshydratée, eau ajoutée",06481,1983-01-01,,
2869,2869,14,0,"Hot chocolate, mix, powder","Chocolat chaud, mélange sec",14192,1988-01-01,,
2885,2885,14,0,"Juice drink, cranberry and apricot, bottled","Boisson au jus, canneberges et abricots, bouteille",14240,1988-01-01,,
2953,2953,14,1,"Hot chocolate, with aspartame, mix, powder","Chocolat chaud, avec aspartame, mélange sec",14196,1988-01-01,,
4282,4282,19,0,"Icing (frosting), chocolate, creamy, dry mix, prepared with butter","Glaçage, chocolat, crémeux, mélange sec, préparé avec beurre",19241,1994-01-01,,
4286,4286,19,0,"Icing (frosting), white, fluffy, dry mix, prepared with water","Glaçage, blanc, velouté, mélange sec, préparé avec eau",19247,1994-01-01,,
4287,4287,19,0,"Dessert, frozen, fruit and juice bar","Dessert, congelé, barre de fruits et jus",19263,1994-01-01,,
4337,4337,19,0,"Icing (frosting), chocolate, creamy, dry mix, prepared with margarine","Glaçage, chocolat, crémeux, mélange sec, préparé avec margarine",19372,1994-01-01,,
4340,4340,19,0,"Icing (frosting), glaze, homemade","Glaçage, fondant, fait maison",19375,1994-01-01,,
4728,4728,6,0,"Soup, stock, fish, homemade","Soupe, bouillon, poisson, faite maison",06174,2000-12-13,1997-04-01,
4776,4776,14,0,"Hot chocolate with marshmallows, powder, mix","Chocolat chaud avec guimauves, mélange sec",14195,2000-12-13,1997-04-01,
4777,4777,14,0,"Hot chocolate, rich, mix, powder","Chocolat chaud, onctueux, mélange sec",14197,2000-12-13,1997-04-01,
5305,5305,1,0,"Dessert topping (non dairy), fat free, Reddi Wip","Garniture à dessert (non laitière), sans gras, Reddi Wip",01200,2004-03-09,2003-08-01,
5340,5340,6,38,"Soup, broth, chicken, ready to serve, reduced sodium","Soupe, bouillon, poulet, prête à servir, réduite en sodium",06183,2004-03-09,2003-08-01,
5354,5354,6,0,"Sauce, chili, peppers, hot, chili, mature red, canned","Sauce chili, piments forts, chili, rouges, conserve",06961,2004-03-09,2003-08-01,
5363,5363,6,38,"Soup, broth, chicken, ready-to-serve, no salt added","Soupe, bouillon, poulet, prête-à-servir, sans sel ajouté",06970,2004-03-09,2003-08-01,
5373,5373,6,0,"Soup, bouillon cubes and granules, low sodium, dry","Soupe, bouillon ou consommé, en cube ou en granules, faible en sodium, sèche",06981,2004-03-09,2003-08-01,
5426,5426,14,0,"Hot chocolate, low calorie, with aspartame, mix, powder, with added calcium and phosphorus, without added sodium or vitamin A","Chocolat chaud, hypocalorique, avec aspartame, mélange sec, calcium et phosphore ajoutés, sans sodium ou vitamine A ajoutés",14538,2004-03-09,2003-08-01,
5450,5450,19,0,"Hot chocolate, cocoa, high fat or breakfast, plain, mix, powder","Chocolat chaud, cacao, à haute teneur en matière grasse ou déjeuner, nature, mélange sec",19859,2004-03-09,2003-08-01,
5451,5451,19,0,"Hot chocolate, cocoa, high fat or breakfast, processed with alkali, mix, powder","Chocolat chaud, cacao, à haute teneur en matière grasse ou déjeuner, préparé avec alkali, mélange sec",19860,2004-03-09,2003-08-01,
5457,5457,14,35,"Drink, fruit flavour, powder, low calorie, vitamin C, with aspartame","Boisson, saveur de fruits, poudre, hypocalorique, vitamine C, avec aspartame",42055,2004-03-09,2003-08-01,
5530,5530,14,35,"Milk shake, not chocolate, dry mix, unprepared","Lait frappé, non au chocolat, mélange sec, non préparé",43078,2004-03-09,2003-08-01,
5547,5547,11,35,"Radish, hawaiian style, pickled","Radis, à l'hawaïenne, mariné",43142,2004-03-09,2003-08-01,
5614,5614,19,35,"Dessert, frozen, pop, with artificial sweetener","Dessert, congelé, pop, avec édulcorant artificiel",43514,2004-03-09,2003-08-01,
5632,5632,14,35,"Drink, fruit flavour, powder, vitamin C, unsweetened","Boisson, saveur de fruits, poudre, vitamine C, non sucrée",47011,2004-03-09,2003-08-01,
3774,3774,18,0,"Cake mix, marble, pudding-type, dry, unprepared","Mélange à gâteau, marbre, type pouding, sec, non préparé",18117,1995-01-01,,
3788,3788,18,0,"Cake, white, pudding-type, dry mix, unprepared","Gâteau, blanc, type pouding, mélange sec, non préparé",18135,1995-01-01,,
3795,3795,18,0,"Cake, yellow (plus streusel), pudding-type, dry mix, unprepared","Gâteau, jaune (avec streusel), type pouding, mélange sec",18142,1995-01-01,,
4227,4227,19,0,"Dessert, egg custard, dry mix, unprepared","Dessert, flan aux oeufs, mélange sec, non préparé",19169,1994-01-01,,
4238,4238,19,0,"Dessert, pudding, chocolate, dry mix, instant, unprepared","Dessert, pouding, chocolat, mélange sec, instantané, non préparé",19184,1994-01-01,,
4241,4241,19,0,"Dessert, flan, caramel custard, dry mix, unprepared","Dessert, flan au caramel, mélange sec, non préparé",19187,1994-01-01,,
4242,4242,19,0,"Dessert, pudding, chocolate, dry mix, regular, unprepared","Dessert, pouding, chocolat, mélange sec, régulier, non préparé",19188,1994-01-01,,
4248,4248,19,0,"Dessert, pudding, rice, dry mix, unprepared","Dessert, pouding, riz, mélange sec, non préparé",19194,1994-01-01,,
4251,4251,19,0,"Dessert, pudding, tapioca, dry mix, unprepared","Dessert, pouding, tapioca, mélange sec, non préparé",19198,1994-01-01,,
4255,4255,19,0,"Dessert, pudding, vanilla, dry mix, instant, unprepared","Dessert, pouding, vanille, mélange sec, instantané, non préparé",19202,1994-01-01,,
4259,4259,19,0,"Dessert, pudding, vanilla, dry mix, regular, unprepared","Dessert, pouding, vanille, mélange sec, régulier, non préparé",19206,1994-01-01,,
4273,4273,19,0,"Dessert, rennin, chocolate, dry mix, unprepared","Dessert, rennine (présure), chocolat, mélange sec, non préparé",19220,1994-01-01,,
4275,4275,19,0,"Dessert, rennin, vanilla, dry mix, unprepared","Dessert, rennine (présure), vanille, mélange sec, non préparé",19222,1994-01-01,,
4281,4281,19,0,"Icing (frosting), chocolate, creamy, dry mix, unprepared","Glaçage, chocolat, crémeux, mélange sec, non préparé",19240,1994-01-01,,
4285,4285,19,0,"Icing (frosting), white, fluffy, dry mix, unprepared","Glaçage, blanc, velouté, mélange sec, non préparé",19246,1994-01-01,,
4307,4307,19,0,"Dessert, pudding, banana, dry mix, regular, unprepared","Dessert, pouding, banane, mélange sec, régulier, non préparé",19320,1995-01-01,,
4309,4309,19,0,"Dessert, pudding, coconut, dry mix, instant, unprepared","Dessert, pouding, noix de coco, mélange sec, instantané, non préparé",19322,1994-01-01,,
4311,4311,19,0,"Dessert, pudding, coconut, dry mix, regular, unprepared","Dessert, pouding, noix de coco, mélange sec, régulier, non préparé",19324,1994-01-01,,
4313,4313,19,0,"Dessert, pudding, lemon, dry mix, instant, unprepared","Dessert, pouding, ditron, mélange sec, instantané, non préparé",19330,1994-01-01,,
4315,4315,19,0,"Dessert, pudding, lemon, dry mix, regular, unprepared","Dessert, pouding, citron, mélange sec, régulier, non préparé",19332,1994-01-01,,
4577,4577,21,0,"Fast foods, entree, oysters, battered or breaded, fried","Aliments prêts à manger, plat principal, huîtres, en pâte à frire ou panées, frites",21048,1990-01-01,,
5625,5625,19,35,"Dessert, pudding, chocolate, dry mix, instant, low calorie, unprepared","Dessert, pouding, chocolat, mélange sec, instantané, hypocalorique, non préparé",44061,2004-03-09,2003-08-01,
5629,5629,19,35,"Dessert, pudding, chocolate, dry mix, regular, low calorie, unprepared","Dessert, pouding, chocolat, mélange sec, régulier, hypocalorique, non préparé",44258,2004-03-09,2003-08-01,
5630,5630,19,35,"Dessert, pudding, all flavours except chocolate, dry mix, regular, low calorie, unprepared","Dessert, pouding, toutes saveurs sauf chocolat, mélange sec, régulier, hypocalorique, non préparé",44259,2004-03-09,2003-08-01,
5631,5631,19,35,"Dessert, pudding, all flavours except chocolate, dry mix, instant, low calorie, unprepared","Dessert, pouding, toutes saveurs sauf chocolat, mélange sec, instantané, hypocalorique, non préparé",44260,2004-03-09,2003-08-01,
1526,1526,9,0,"Cherry, sour, red, raw","Cerise sure, rouge, crue",09063,1984-01-01,,Prunus cerasus
1557,1557,9,0,"Fruit salad (peach, pear, apricot, pineapple, cherry), canned, water pack, solids and liquid","Fruits, salade (pêches, poires, abricots, ananas, cerises), conserve, dans l'eau, solides et liquide",09102,1984-01-01,,
1573,1573,9,0,"Grape, North American type (slip skin), raw","Raisin, type Nord-Américain, peau non-adhérente, cru",09131,1984-01-01,,Vitis spp.
1640,1640,9,0,"Peach, dried halves, sulphured, uncooked","Pêche, moitié, séchée, sulfurée, non cuite",09246,1984-01-01,,
1696,1696,9,3,"Apple, raw, with skin","Pomme, crue, avec pelure",09003,1984-01-01,,Malus sylvestris
1718,1718,9,3,"Grape, red or green (European type, such as Thompson seedless), adherent skin, raw","Raisin, rouge ou vert (Type Européen, comme Thompson sans graines), peau adhérente, cru",09132,1984-01-01,,Vitis vinifera
1995,1995,11,0,"Balsam-pear (bitter gourd, bitter melon), leafy tips, raw","Margose, feuilles tendres, crues",11022,1985-01-01,,Momordica charantia
1997,1997,11,0,"Balsam-pear (bitter gourd, bitter melon), pods, raw","Margose, fruits, crus",11024,1985-01-01,,Momordica charantia
2008,2008,11,0,"Beans, mung, mature seeds, sprouted, bean sprouts, raw","Haricots, mungo, secs, germés, germes de haricot, crus",11043,1985-01-01,,Vigna radiata
2010,2010,11,0,"Beans, mung, mature seeds, sprouted, bean sprouts, stir-fried, no fat added","Haricots, mungo, secs, germés, germes de haricot, sautés, sans gras ajouté",11045,1985-01-01,,
2034,2034,11,0,"Cabbage, red, raw","Chou rouge, cru",11112,1985-01-01,,Brassica oleracea (Capitata Group)
2039,2039,11,0,"Bok choy, pak-choi, boiled drained","Bok choy, pak-choi, bouilli, égoutté",11117,1985-01-01,,
2062,2062,11,0,"Coleslaw (cabbage salad), with dressing, homemade","Chou, salade, avec vinaigrette, faite maison",11159,1985-01-01,,
2098,2098,11,0,"Beans, hyacinth, raw","Doliques d'Égypte, crus",11224,1985-01-01,,Dolichos lablab
2114,2114,11,0,"Lentils, sprouted, stir-fried, no fat added","Lentilles, germées, sautées, sans gras ajouté",11249,1985-01-01,,
2144,2144,11,0,"Onion, spring (green) or scallion (includes tops and bulb), raw","Oignon, vert (inclus le bout et le bulbe), cru",11291,1989-01-01,,Allium cepa or Allium fistulosum
2161,2161,11,0,"Pepper, sweet, green, canned, solids and liquid","Poivron vert, conserve, solides et liquide",11335,1985-01-01,,
2162,2162,11,0,"Peas, pigeon, raw","Pois, cajan, crus",11344,1985-01-01,,Cajanus cajan
2163,2163,11,0,"Peas, pigeon, boiled, drained","Pois, cajan, bouillis, égouttés",11345,1985-01-01,,
2170,2170,11,0,"Potato, scalloped, homemade, with butter","Pomme de terre, escaloppe (dauphinoise), faite maison, avec beurre",11372,1985-01-01,,
2171,2171,11,0,"Potato, au gratin, homemade, with butter","Pomme de terre, au gratin, faite maison, avec beurre",11373,1985-01-01,,
2178,2178,11,0,"Potato, au gratin, dry mix, prepared with water, whole milk and butter","Pomme de terre, au gratin, mélange sec, préparé avec eau, lait entier et beurre",11385,1985-01-01,,
2205,2205,11,0,"Seaweed, dulse (laver, nori), raw","Algue, rhodyménie palmé (main de mere, nori), crue",11446,1985-01-01,,Porphyra laciniata
2212,2212,11,0,"Soybeans, mature seeds, sprouted, bean sprouts, stir-fried, no fat added","Fèves, soya, sèches, germées, germes de haricot, sautées, sans gras ajouté",11454,1994-01-01,,
2241,2241,11,0,"Sweet potato, baked, skin removed after baking","Patate douce, cuite au four, pelée après la cuisson",11508,1985-01-01,,
2290,2290,11,0,"Dock (sorrel), raw","Oseille, cru",11616,1985-01-01,,Rumex spp.
2316,2316,11,0,"Sweet potato, cooked, candied, homemade","Patate douce, cuite, confite, faite maison",11659,1985-01-01,,
2317,2317,11,0,"Tomato, red, ripe, stewed (scalloped with breadcrumbs)","Tomate, rouge, mûre, étuvée (escalopes avec chapelure)",11660,1989-01-01,,
2328,2328,11,0,"Beans, snap (Italian, green or yellow), frozen, boiled, with salt","Haricots italiens, jaunes ou verts, congelés, bouillis, sel ajouté",11731,1995-01-01,,
2335,2335,11,0,"Potato, mashed, dehydrated, granules without milk, prepared with whole milk and margarine","Pomme de terre, purée, déshydratée, granules sans lait, préparée avec lait entier et margarine",11929,1989-01-01,,
2396,2396,11,3,"Leeks (bulb and lower-leaf portion), raw","Poireaux (bulbe et portion inférieure), crus",11246,1985-01-01,,Allium ampeloprasum
2397,2397,11,3,"Leeks (bulb and lower-leaf portion), boiled, drained","Poireaux (bulbe et portion inférieure), bouillis, égouttés",11247,1985-01-01,,
2399,2399,11,3,"Mushroom, white, raw","Champignon, blanc, cru",11260,1985-01-01,,Agaricus bisporus
2411,2411,11,3,"Peas, green, canned, drained solids","Pois, petits (verts), conserve, solides égouttés",11308,1985-01-01,,
2415,2415,11,3,"Pepper, sweet, green, frozen, chopped, unprepared","Poivron vert, congelé, haché, non préparé",11337,1985-01-01,,
2416,2416,11,3,"Pepper, sweet, green, frozen, chopped, boiled, drained","Poivron vert, congelé, haché, bouilli, égoutté",11338,1985-01-01,,
2429,2429,11,3,"Potato, scalloped, dry mix, prepared with water, whole milk and butter","Pomme de terre, en escalopes, mélange sec, préparé avec eau, lait entier et beurre",11387,1985-01-01,,
2436,2436,11,29,"Potato, french-fried, frozen, restaurant prepared, fried in vegetable oil","Pomme de terre, frite, congelée, préparée au restaurant avec de l'huile végétale",,1985-01-01,,
2447,2447,11,3,"Spinach, canned, drained solids","Épinard, conserve, égoutté",11461,1985-01-01,,
2451,2451,11,3,"Squash, winter, butternut, raw","Courge d'hiver, courge musquée, crue",11485,1985-01-01,,Cucurbita moschata
2485,2485,11,3,"Pepper, sweet, green, boiled, drained, with salt","Poivron vert, bouilli, égoutté, sel ajouté",11822,1990-01-01,,
2493,2493,11,3,"Corn, sweet, white, frozen, kernels off cob, boiled, drained, with salt","Maïs sucré, blanc, congelé, grains, bouilli, égoutté, sel ajouté",11912,1995-01-01,,
4861,4861,11,0,"Pepper, chili, green, canned","Piment, chili, vert, conserve",11980,2000-12-20,1997-06-01,
4906,4906,11,0,"Fiddlehead greens (ferns), raw","Crosses de fougères (têtes de violon), crues",11995,2000-12-22,1999-02-01,Matteuccia struthioreris
5370,5370,6,0,"Soup, beef and mushroom, low sodium, chunky style","Soupe, boeuf et champignons, faible en sodium, chunky",06978,2004-03-09,2003-08-01,
5,5,22,0,"Chinese dish, chow mein, chicken","Mets chinois, chow mein, poulet",36623,1981-01-01,,
43,43,1,0,"Cheese, ricotta, with whole milk","Fromage ricotta, avec lait entier",01036,1981-01-01,,
55,55,1,0,"Eggnog, 7% M.F., Canadian product, 4% to 8% M.F.","Lait de poule, 7% M.G., produit canadien, 4% à 8% M.G.",01057,1981-01-01,,
56,56,1,0,"Coffee whitener (non dairy), liquid","Colorant à café (non laitier), liquide",01067,1981-01-01,,
59,59,1,0,"Dessert topping (non dairy), pressurized","Garniture à dessert (non laitière), sous pression (bombe)",01072,1981-01-01,,
60,60,1,0,"Dessert topping (non dairy), frozen, semisolid","Garniture à dessert (non laitière), congelée, semi-solide",01073,1981-01-01,,
71,71,14,1,"Hot chocolate, cocoa, homemade, prepared with 2% milk","Chocolat chaud, cacao, fait maison, préparé avec lait 2% m.g.",01105,1995-01-01,,
72,72,1,0,"Milk, fluid, goat, enriched, whole","Lait, liquide, chèvre, enrichi, entier",01106,1981-01-01,,
86,86,1,0,"Egg, chicken, white, dried, powder, glucose reduced","Oeuf, poule, blanc, déshydraté, poudre, réduit en glucose",01136,1981-01-01,,
116,116,14,1,"Hot chocolate, cocoa, homemade, prepared with whole milk","Chocolat chaud, cacao, fait maison, préparé avec lait entier",,1981-01-01,,
129,129,1,4,"Egg, chicken, whole, cooked, fried","Oeuf, poule, entier, cuit, frit",01128,1989-01-01,,
130,130,1,36,"Egg, chicken, whole, cooked, boiled in shell, hard-cooked","Oeuf, poule, entier, cuit, bouilli à la coque, dur",01129,1990-01-01,,
134,134,1,1,"Milk, dry, skim, powder, regular","Lait, en poudre, écrémé",01154,1981-01-01,,
147,147,1,26,"Cheese, cottage, less than 0.1% M.F.","Fromage cottage, moins de 0,1% M.G.",,1991-01-01,,
164,164,19,0,"Dessert, frozen yogourt","Dessert, congelé, yogourt glacé",42187,1990-01-01,,
822,822,5,0,"Chicken, broiler, skin only, raw","Poulet à griller, peau seulement, cru",05015,1996-01-01,,Gallus gallus
823,823,5,0,"Chicken, broiler, skin only, roasted","Poulet à griller, peau seulement, rôti",05018,1996-01-01,,
824,824,5,0,"Chicken, broiler, skin only, stewed","Poulet à griller, peau seulement, à l'étuvée",05019,1996-01-01,,
